fname,itp_pred,itp_pred_prob,its_pred,its_pred_prob
Uz_time_01_01_.npz,[43],[0.9667367],[68],[0.5732108]
Uz_time_01_02_.npz,[44],[0.9041876],[],[]
Uz_time_01_03_.npz,[47],[0.9219521],[130],[0.2526817]
Uz_time_01_04_.npz,[54],[0.91986233],[134],[0.4249151]
Uz_time_01_05_.npz,[55],[0.93407893],[],[]
Uz_time_01_06_.npz,[54],[0.9436887],[],[]
Uz_time_01_07_.npz,[58],[0.9542064],[140],[0.39739805]
Uz_time_01_08_.npz,[58],[0.938282],[184],[0.28739506]
Uz_time_01_09_.npz,[60],[0.9224927],[186],[0.24979118]
Uz_time_01_10_.npz,[62],[0.95056856],[177],[0.229178]
Uz_time_01_11_.npz,[59],[0.9274278],[176],[0.20364612]
Uz_time_01_12_.npz,[63],[0.9538514],[184],[0.2028227]
Uz_time_01_13_.npz,[65],[0.96451503],[178],[0.25109732]
Uz_time_01_14_.npz,[63],[0.94851387],[178],[0.3185946]
Uz_time_01_15_.npz,[61],[0.929227],[182],[0.4261435]
Uz_time_01_16_.npz,[63],[0.93099177],[182],[0.51868767]
Uz_time_01_17_.npz,[67],[0.9636812],[206],[0.22097005]
Uz_time_01_18_.npz,[66],[0.94498956],[],[]
Uz_time_01_19_.npz,[66],[0.95619076],[208],[0.3522669]
Uz_time_01_20_.npz,[65],[0.8888472],[],[]
Uz_time_01_21_.npz,[65],[0.90413064],[210],[0.3100343]
Uz_time_01_22_.npz,[60],[0.88730097],[],[]
Uz_time_01_23_.npz,[63],[0.9302965],[],[]
Uz_time_01_24_.npz,[64],[0.93820035],[213],[0.4562641]
Uz_time_01_25_.npz,[68],[0.936185],[],[]
Uz_time_01_26_.npz,[67],[0.9437851],[],[]
Uz_time_01_27_.npz,[65],[0.8616276],[],[]
Uz_time_01_28_.npz,[65],[0.9091714],[],[]
Uz_time_01_29_.npz,[64],[0.89958405],[],[]
Uz_time_01_30_.npz,[69],[0.9530141],[],[]
Uz_time_01_31_.npz,[69],[0.9447144],[],[]
Uz_time_01_32_.npz,[70],[0.946755],[],[]
Uz_time_01_33_.npz,[67],[0.9451777],[405],[0.2061177]
Uz_time_01_34_.npz,[70],[0.91334045],[400],[0.4645713]
Uz_time_01_35_.npz,[69],[0.8871293],[],[]
Uz_time_01_36_.npz,[73],[0.9614588],[276],[0.33881253]
Uz_time_01_37_.npz,[73],[0.9663361],[],[]
Uz_time_01_38_.npz,[73],[0.9100988],[301],[0.43327558]
Uz_time_01_39_.npz,[77],[0.94079375],[283],[0.7196856]
Uz_time_01_40_.npz,[67],[0.88292575],[441],[0.5126823]
Uz_time_01_41_.npz,[70],[0.8945758],[442],[0.6565587]
Uz_time_01_42_.npz,[67],[0.93964404],[439],[0.39813894]
Uz_time_01_43_.npz,[69],[0.9036893],[],[]
Uz_time_01_44_.npz,[76],[0.94947064],[318],[0.6781024]
Uz_time_01_45_.npz,[71],[0.9366072],[437],[0.31114468]
Uz_time_01_46_.npz,[75],[0.9503926],[318],[0.41083723]
Uz_time_01_47_.npz,[79],[0.9435151],[341],[0.24832822]
Uz_time_01_48_.npz,[78],[0.840751],[465],[0.29360238]
Uz_time_01_49_.npz,[76],[0.9556333],[337],[0.74920845]
Uz_time_01_50_.npz,[77],[0.91702014],[410],[0.21201794]
Uz_time_01_51_.npz,[81],[0.9303652],[410],[0.5481375]
Uz_time_01_52_.npz,[81],[0.9457033],[],[]
Uz_time_01_53_.npz,[81],[0.94347626],[370],[0.64370334]
Uz_time_01_54_.npz,[83],[0.94473743],[542],[0.3827503]
Uz_time_01_55_.npz,[80],[0.9517585],[542],[0.3507731]
Uz_time_01_56_.npz,[81],[0.9406813],[434],[0.29936963]
Uz_time_01_57_.npz,[81],[0.8934772],[],[]
Uz_time_01_58_.npz,[81],[0.9400471],[],[]
Uz_time_01_59_.npz,[83],[0.9585252],[460],[0.27942428]
Uz_time_01_60_.npz,[83],[0.94309443],[462],[0.5336611]
Uz_time_01_61_.npz,[81],[0.95299524],[421],[0.7370532]
Uz_time_01_62_.npz,[83],[0.95065325],[426],[0.5740023]
Uz_time_01_63_.npz,[83],[0.96856225],[432],[0.8105413]
Uz_time_01_64_.npz,[83],[0.94701874],[439],[0.60908556]
Uz_time_01_65_.npz,[82],[0.9489104],[443],[0.43537027]
Uz_time_01_66_.npz,[82],[0.94319147],[454],[0.5078084]
Uz_time_01_67_.npz,[85],[0.9564522],[458],[0.5125108]
Uz_time_01_68_.npz,[82],[0.89953256],[466],[0.45094377]
Uz_time_01_69_.npz,[84],[0.9355796],[474],[0.6408277]
Uz_time_01_70_.npz,[86],[0.9213418],[512],[0.32645085]
Uz_time_01_71_.npz,[85],[0.9457446],[486],[0.36254525]
Uz_time_01_72_.npz,[87],[0.94325393],[483],[0.5871998]
Uz_time_01_73_.npz,[87],[0.9360377],[482],[0.55571926]
Uz_time_01_74_.npz,[83],[0.92796546],[486],[0.3560354]
Uz_time_01_75_.npz,[86],[0.9476958],[497],[0.83048034]
Uz_time_01_76_.npz,[88],[0.94921374],[505],[0.722466]
Uz_time_01_77_.npz,[87],[0.9251167],[506],[0.85558546]
Uz_time_01_78_.npz,[87],[0.9480103],[513],[0.7844982]
Uz_time_01_79_.npz,[86],[0.93279827],[521],[0.682284]
Uz_time_01_80_.npz,[87],[0.9681515],[520],[0.80071306]
Uz_time_01_81_.npz,[87],[0.95564806],[531],[0.8446245]
Uz_time_01_82_.npz,[87],[0.9597092],[544],[0.5636822]
Uz_time_01_83_.npz,[87],[0.9472272],[540],[0.70800185]
Uz_time_01_84_.npz,[88],[0.91228855],[546],[0.8784294]
Uz_time_01_85_.npz,[89],[0.9445586],[554],[0.8130151]
Uz_time_01_86_.npz,[89],[0.9326357],[560],[0.84677154]
